,Name,Team,Pos,W,L,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,PTS,ERA,AVG,WHIP,FPPG,Projected_FPPG
265,Greg Holland,KC,RP,2,1,11,0,2,10.1,11,6,5,3,8,10,58,4.36,0.262,1.84,5.2727272727272725,19.023221661330318
266,Casey Sadler,SEA,RP,0,1,11,0,0,11.0,8,3,2,0,6,10,57,1.64,0.205,1.27,5.181818181818182,17.958645501084305
267,Alec Mills,CHC,RP,1,0,10,1,1,19.0,20,12,12,4,4,10,57,5.68,0.27,1.26,5.7,13.475020218693121
268,Aaron Slegers,LAA,SP,1,0,12,0,0,11.0,15,4,4,1,2,10,57,3.27,0.326,1.55,4.75,10.545304874797546
269,Trevor Richards,TB,SP,0,0,5,0,1,11.0,9,6,6,2,3,14,57,4.91,0.22,1.09,11.4,13.174243365215458
270,Kevin Ginkel,ARI,RP,0,0,13,0,0,11.0,10,5,4,3,4,12,57,3.27,0.238,1.27,4.384615384615385,13.770297645295678
271,Caleb Baragar,SF,SP,2,0,10,0,0,7.0,6,1,0,0,4,8,57,0.0,0.231,1.43,5.7,15.762673698205713
272,Hunter Strickland,TB,RP,0,0,8,0,0,10.2,8,2,2,1,3,10,56,1.69,0.205,1.03,7.0,14.152865226433345
273,Chad Kuhl,PIT,SP,0,1,4,4,0,15.2,12,14,11,4,16,14,56,6.32,0.222,1.79,14.0,32.09486504606029
274,Tyler Alexander,DET,SP,0,0,7,0,0,12.2,14,7,7,4,4,13,56,4.97,0.275,1.42,8.0,13.708193916491844
275,Brooks Raley,HOU,SP,0,1,14,0,1,12.1,11,10,10,2,3,16,55,7.3,0.229,1.14,3.928571428571429,10.609732760361863
276,Tim Mayza,TOR,RP,1,0,12,0,0,8.1,7,0,0,0,2,8,55,0.0,0.233,1.08,4.583333333333333,12.783564310628204
277,Riley Smith,ARI,SP,1,1,5,2,0,17.0,21,10,9,1,6,7,55,4.77,0.304,1.59,11.0,17.28714047896466
278,Kyle Crick,PIT,RP,0,0,10,0,0,10.0,1,0,0,0,4,8,54,0.0,0.036000000000000004,0.5,5.4,16.98355248842259
279,Luke Jackson,ATL,RP,1,0,11,0,0,10.0,8,2,2,1,8,8,54,1.8,0.222,1.6,4.909090909090909,20.405984459782054
280,Jorge Alcala,MIN,RP,0,0,10,0,0,11.0,5,4,4,3,2,11,54,3.27,0.139,0.64,5.4,12.200492407496354
281,Johan Oviedo,STL,SP,0,0,2,1,0,9.2,5,3,3,1,4,11,53,2.79,0.156,0.93,26.5,16.49120352542911
282,Ross Stripling,TOR,SP,0,1,3,3,0,12.2,18,9,9,2,4,14,53,6.4,0.327,1.74,17.666666666666668,13.79898442891428
283,Aaron Bummer,CHW,RP,0,1,11,0,0,8.2,9,4,2,0,6,11,53,2.08,0.257,1.73,4.818181818181818,16.948864830628036
284,Cody Stashak,MIN,RP,0,0,10,0,0,8.2,9,7,7,1,5,16,53,7.27,0.257,1.62,5.3,13.452841959244665
285,Angel Perdomo,MIL,SP,1,0,8,0,0,7.1,5,5,5,2,5,13,52,6.14,0.2,1.36,6.5,14.750047104480277
286,Wandy Peralta,NYY,RP,2,1,11,0,2,9.1,11,5,5,1,3,9,52,4.82,0.297,1.5,4.727272727272728,11.677391875374413
287,Phillips Valdez,BOS,RP,1,0,8,0,0,10.1,4,5,4,0,4,9,52,3.48,0.111,0.77,6.5,15.359418482065443
288,Tanner Houck,BOS,SP,0,2,3,2,0,10.1,14,7,5,1,1,12,52,4.36,0.304,1.45,17.333333333333332,10.4021459082216
289,Connor Brogdon,PHI,RP,3,1,12,0,0,11.1,11,9,9,2,6,9,52,7.15,0.256,1.5,4.333333333333333,15.161135769295486
290,Brad Boxberger,MIL,RP,0,0,10,0,1,9.0,5,2,2,1,2,10,51,2.0,0.156,0.78,5.1,12.52239374730146
291,Raisel Iglesias,LAA,RP,1,2,11,0,4,10.0,12,10,8,3,1,13,51,7.2,0.293,1.3,4.636363636363637,7.770457459377207
292,Lucas Sims,CIN,SP,0,1,11,0,1,10.0,5,9,8,2,7,15,51,7.2,0.147,1.2,4.636363636363637,17.054923574591655
293,Joel Payamps,TOR,RP,0,1,9,0,0,12.0,13,3,3,2,1,8,51,2.25,0.277,1.17,5.666666666666668,10.358322857267481
294,David Price,LAD,SP,1,0,7,0,1,9.2,14,7,6,3,4,11,50,5.59,0.318,1.86,7.142857142857142,12.690966670197913
295,Keynan Middleton,SEA,RP,0,0,10,0,2,11.2,4,4,4,1,5,9,50,3.09,0.105,0.77,5.0,16.576549409116744
296,Nabil Crismatt,SD,SP,1,1,4,0,0,8.2,12,4,3,0,3,9,50,3.12,0.333,1.73,12.5,13.066475651300333
297,Trevor Stephan,CLE,SP,0,0,7,0,0,10.2,12,7,7,4,5,13,50,5.91,0.267,1.59,7.142857142857142,14.444359042927038
298,Ljay Newsome,SEA,SP,1,1,5,1,0,12.2,16,11,10,4,3,12,50,7.11,0.29600000000000004,1.5,10.0,11.631973334425846
299,Sean Newcomb,ATL,RP,1,0,7,0,1,6.1,7,6,6,1,6,14,49,8.53,0.28,2.05,7.0,14.204329878969597
300,José Ruiz,CHW,RP,0,1,9,0,0,9.1,3,2,2,0,5,9,49,1.93,0.094,0.86,5.4444444444444455,17.18469095024093
301,Anthony Castro,TOR,RP,0,0,6,0,1,7.1,3,0,0,0,1,9,49,0.0,0.12,0.55,8.166666666666666,12.90910856215532
302,José Álvarez,SF,RP,1,1,10,0,0,8.0,7,4,3,0,7,9,48,3.38,0.212,1.75,4.8,18.065132308571123
303,Yoan López,ARI,RP,0,0,11,0,0,10.0,13,8,7,3,5,13,48,6.3,0.295,1.8,4.363636363636363,13.263474144319419
304,Carlos Estévez,COL,RP,0,0,10,0,1,10.0,10,5,4,1,4,10,48,3.6,0.263,1.4,4.8,13.76382491018022
305,Cal Quantrill,CLE,SP,0,0,9,0,0,14.0,11,4,4,2,8,6,48,2.57,0.22,1.36,5.333333333333333,20.474530712121364
306,Anthony Misiewicz,SEA,RP,2,1,13,0,0,10.0,9,3,3,1,2,5,48,2.7,0.225,1.1,3.692307692307693,11.323460039655588
307,Garrett Crochet,CHW,SP,0,2,8,0,0,9.0,9,4,1,0,5,8,48,1.0,0.257,1.56,6.0,16.581987290010833
308,Ross Detwiler,MIA,SP,0,0,11,1,0,8.2,6,3,3,0,7,10,47,3.12,0.188,1.5,4.2727272727272725,18.455526536760566
309,Jordan Romano,TOR,SP,2,1,8,0,0,6.2,5,3,2,0,5,7,47,2.7,0.192,1.5,5.875,16.10629008847119
310,Tony Watson,LAA,RP,1,0,9,0,0,8.1,5,1,1,1,1,6,46,1.08,0.172,0.72,5.111111111111111,11.636041540789485
311,Alex Claudio,LAA,RP,0,0,10,0,0,9.1,12,6,5,0,2,11,46,4.82,0.293,1.5,4.6,9.987031451337304
312,Stephen Strasburg,WSH,SP,0,1,2,2,0,10.0,9,8,7,3,7,11,46,6.3,0.231,1.6,23.0,18.40277247184128
313,Adam Cimber,MIA,RP,0,0,13,0,0,12.1,11,6,5,0,5,8,46,3.65,0.244,1.3,3.5384615384615383,14.88778010446084
314,Kyle Cody,TEX,SP,0,2,7,0,0,11.1,16,11,10,3,2,14,46,7.94,0.327,1.59,6.571428571428571,8.992847632738515
315,Matt Foster,CHW,RP,1,1,10,0,0,8.1,8,9,9,2,3,14,46,9.72,0.25,1.32,4.6,9.75665751878455
316,Darren O'Day,NYY,RP,0,0,10,0,0,9.0,8,3,3,1,2,9,45,3.0,0.222,1.11,4.5,11.415997266041888
317,Richard Bleier,MIA,RP,1,0,12,0,0,11.0,11,6,6,4,0,8,45,4.91,0.268,1.0,3.75,7.37754517330251
318,Ryan Tepera,CHC,RP,0,0,12,0,0,10.2,9,6,6,2,5,10,44,5.06,0.243,1.31,3.6666666666666665,14.378757868795635
319,Phil Maton,CLE,RP,0,0,8,0,0,8.2,6,4,4,1,4,10,44,4.15,0.207,1.15,5.5,14.196102914046486
320,David Hale,PHI,RP,0,1,8,0,0,12.1,11,7,6,3,5,8,43,4.38,0.224,1.3,5.375,15.30536202680108
321,Hansel Robles,MIN,RP,0,1,11,0,0,10.1,4,6,5,0,6,9,43,4.36,0.114,0.97,3.9090909090909087,16.99441688613726
322,Aaron Loup,NYM,RP,0,0,7,0,0,6.1,3,2,0,0,1,8,43,0.0,0.158,0.63,6.142857142857142,12.480980412912817
323,Nick Nelson,NYY,SP,0,2,6,1,0,8.1,11,10,9,0,5,15,43,9.72,0.306,1.92,7.166666666666668,12.593879640089938
324,Jordan Sheffield,COL,RP,0,0,9,0,0,8.1,5,2,2,1,2,8,43,2.16,0.172,0.84,4.777777777777779,12.350048101084587
325,Steve Cishek,LAA,RP,0,0,10,0,0,9.0,10,8,5,0,9,10,42,5.0,0.278,2.11,4.2,19.51547663854206
326,Jeurys Familia,NYM,RP,0,0,9,0,1,7.0,7,2,1,0,4,8,42,1.29,0.25,1.57,4.666666666666667,14.633971737536207
327,Corey Knebel,LAD,RP,1,0,8,0,2,6.0,3,3,3,0,3,9,42,4.5,0.14300000000000002,1.0,5.25,12.848829180779179
