Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,TB,AVG,OBP,SLG,OPS,ISO,PTS,FPPG,Projected_FPPG
Monte Harrison,MIA,OF,3,5,0,1,0,0,0,0,0,1,0,1,1,0.2,0.2,0.2,0.4,0.0,3.0,1.0,2.87646357843463
Carter Kieboom,WSH,SS,2,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.5,0.0,0.5,0.0,3.0,1.5,5.348047145988623
Hunter Owen,PIT,OF,3,4,0,0,0,0,0,0,0,3,0,0,0,0.0,0.2,0.0,0.2,0.0,3.0,1.0,2.035921828502545
Luis Barrera,OAK,OF,4,5,0,1,0,0,0,0,0,2,0,0,1,0.2,0.2,0.2,0.4,0.0,3.0,0.75,2.8465306266790558
Jeff Mathis,ATL,C,3,9,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0902355020925496
Sean Kazmar Jr.,ATL,SS,3,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2299063923939091
Skye Bolt,OAK,OF,6,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35134492720288346
Gilberto Celestino,MIN,OF,4,12,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616502555919304
Lewin Díaz,MIA,1B,1,4,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08558728020249262
Tzu-Wei Lin,MIN,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16622236325610018
Thairo Estrada,SF,2B,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19806437782500463
Isaac Paredes,DET,3B,1,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09711132054212612
Joseph Odom,TB,C,2,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.176465102019149
Jack Kruger,LAA,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16622236325610018
Daniel Johnson,CLE,OF,2,9,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042556231887606266
Luis González,CHW,OF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16622236325610018
Scott Hurst,STL,OF,7,5,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36734968613574903
Tres Barrera,WSH,C,1,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12878583181420566
Rodolfo Castro,PIT,2B,1,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1129485761781659
Joey Bart,SF,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1503851076200613
Cody Wilson,WSH,OF,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1503851076200613
