Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58318-82582,P,Griffin,Griffin Canning,Canning,21.8,5,6000,TB@LAA,LAA,TB,,,,,,P
58318-82634,P,Logan,Logan Allen,Allen,7.6,5,6000,CLE@KC,CLE,KC,,,,,,P
58318-17116,P,Jake,Jake Odorizzi,Odorizzi,10,3,6000,HOU@NYY,HOU,NYY,IL,Forearm,,,0,P
58318-82656,P,Nate,Nate Pearson,Pearson,14.4,5,6000,TOR@OAK,TOR,OAK,,,,,,P
58318-68490,P,Austin,Austin Voth,Voth,8.857142857142858,7,6000,ATL@WSH,WSH,ATL,,,,,0,P
58318-82840,P,Yonny,Yonny Chirinos,Chirinos,18.333333333333332,3,6000,TB@LAA,TB,LAA,IL,Elbow,,,0,P
58318-11328,P,Martin,Martin Perez,Perez,19.8,5,6000,DET@BOS,BOS,DET,,,,,0,P
58318-58434,P,Kendall,Kendall Graveman,Graveman,7.7,10,6000,BAL@SEA,SEA,BAL,,,,,,P
58318-83163,P,Jonathan,Jonathan Loaisiga,Loaisiga,8.583333333333334,12,6000,HOU@NYY,NYY,HOU,,,,,0,P
58318-79072,P,Brad,Brad Keller,Keller,11.833333333333334,6,6000,CLE@KC,KC,CLE,,,,,0,P
58318-79076,P,Kolby,Kolby Allard,Allard,12.166666666666666,6,6000,TEX@MIN,TEX,MIN,,,,,0,P
58318-79201,P,Anthony,Anthony Kay,Kay,7,1,6000,TOR@OAK,TOR,OAK,,,,Yes,,P
58318-79217,P,Mitch,Mitch Keller,Keller,13.6,5,6000,PIT@SD,PIT,SD,,,,Yes,,P
58318-79228,P,Cal,Cal Quantrill,Quantrill,5.333333333333333,9,6000,CLE@KC,CLE,KC,,,,,,P
58318-62872,P,Vince,Vince Velasquez,Velasquez,17.833333333333332,6,6000,MIL@PHI,PHI,MIL,,,,,0,P
58318-85531,P,Josh,Josh James,James,6.076923076923077,13,6000,HOU@NYY,HOU,NYY,IL,Hip,,,0,P
58318-102333,P,Daniel,Daniel Lynch,Lynch,14,1,6000,CLE@KC,KC,CLE,,,,,0,P
58318-21099,P,Jose,Jose Quintana,Quintana,15,5,5900,TB@LAA,LAA,TB,,,,,,P
58318-68484,P,Chad,Chad Kuhl,Kuhl,14,4,5900,PIT@SD,PIT,SD,IL,Shoulder,,,,P
58318-60637,P,Sean,Sean Newcomb,Newcomb,7,7,5900,ATL@WSH,ATL,WSH,,,,,0,P
58318-79180,P,Cody,Cody Ponce,Ponce,15,5,5900,PIT@SD,PIT,SD,,,,,,P
58318-79227,P,Adrian,Adrian Morejon,Morejon,8.5,2,5900,PIT@SD,SD,PIT,IL,Elbow,,,,P
58318-102447,P,Dean,Dean Kremer,Kremer,17.6,5,5800,BAL@SEA,BAL,SEA,,,,,,P
58318-135266,P,Ljay,Ljay Newsome,Newsome,10,5,5800,BAL@SEA,SEA,BAL,,,,,,P
58318-68469,P,Adam,Adam Plutko,Plutko,7.454545454545454,11,5800,BAL@SEA,BAL,SEA,,,,,,P
58318-68520,P,Michael,Michael Fulmer,Fulmer,14.571428571428571,7,5800,DET@BOS,DET,BOS,,,,Yes,,P
58318-79123,P,Tyler,Tyler Alexander,Alexander,8,7,5800,DET@BOS,DET,BOS,,,,,0,P
58318-23834,P,Collin,Collin McHugh,McHugh,2.5,4,5800,TB@LAA,TB,LAA,IL,Back,,,0,P
58318-102407,P,Shane,Shane McClanahan,McClanahan,21,1,5700,TB@LAA,TB,LAA,,,,Yes,,P
58318-135212,P,Luis,Luis Garcia,Garcia,20.4,5,5700,HOU@NYY,HOU,NYY,,,,,0,P
58318-135226,P,Wes,Wes Benjamin,Benjamin,7.666666666666667,3,5700,TEX@MIN,TEX,MIN,,,,,0,P
58318-102489,P,Carlos,Carlos Hernandez,Hernandez,6.333333333333333,3,5700,CLE@KC,KC,CLE,,,,,0,P
58318-12455,P,Josh,Josh Tomlin,Tomlin,6.2,10,5700,ATL@WSH,ATL,WSH,,,,,0,P
58318-82650,P,Kyle,Kyle Cody,Cody,6.571428571428571,7,5700,TEX@MIN,TEX,MIN,IL,Shoulder,,,0,P
58318-82653,P,Ryan,Ryan Borucki,Borucki,6.636363636363637,11,5700,TOR@OAK,TOR,OAK,,,,,,P
58318-103218,P,Nick,Nick Margevicius,Margevicius,7.8,5,5700,BAL@SEA,SEA,BAL,IL,Shoulder,,,,P
58318-68542,P,Robert,Robert Gsellman,Gsellman,6.4,5,5700,NYM@STL,NYM,STL,,,,,,P
